pitch,duration,melody_id
60,480,1
63,480,1
67,480,1
72,480,1
67,480,1
63,480,1
60,960,1
60,240,2
67,240,2
72,240,2
75,240,2
72,480,2
67,480,2
60,960,2
72,480,3
70,480,3
67,480,3
63,480,3
60,480,3
63,480,3
67,960,3
60,240,4
60,240,4
63,240,4
63,240,4
67,480,4
67,480,4
72,960,4
75,480,5
72,480,5
70,480,5
67,480,5
63,480,5
60,960,5
60,480,6
67,480,6
75,480,6
72,480,6
67,480,6
63,480,6
60,960,6
63,240,7
67,240,7
70,240,7
72,240,7
75,480,7
72,480,7
67,480,7
63,960,7
72,480,8
72,480,8
70,240,8
67,240,8
63,480,8
60,480,8
60,960,8
