pitch,duration,melody_id,technique
72,480,beatles_pop_1,normal
74,480,beatles_pop_1,normal
76,480,beatles_pop_1,normal
77,480,beatles_pop_1,normal
79,960,beatles_pop_1,vibrato
77,480,beatles_pop_1,normal
76,480,beatles_pop_1,normal
74,480,beatles_pop_1,normal
72,960,beatles_pop_1,normal
72,240,beatles_pop_2,normal
74,240,beatles_pop_2,normal
76,240,beatles_pop_2,normal
79,480,beatles_pop_2,normal
76,240,beatles_pop_2,normal
74,240,beatles_pop_2,normal
72,480,beatles_pop_2,normal
74,480,beatles_pop_2,normal
76,960,beatles_pop_2,vibrato
72,240,funk_rhythm_1,staccato
72,120,funk_rhythm_1,staccato
75,240,funk_rhythm_1,staccato
75,120,funk_rhythm_1,staccato
79,240,funk_rhythm_1,normal
79,120,funk_rhythm_1,staccato
75,120,funk_rhythm_1,normal
72,240,funk_rhythm_1,staccato
72,120,funk_rhythm_1,normal
75,240,funk_rhythm_2,staccato
75,120,funk_rhythm_2,staccato
79,240,funk_rhythm_2,normal
79,120,funk_rhythm_2,staccato
72,240,funk_rhythm_2,staccato
72,120,funk_rhythm_2,staccato
75,120,funk_rhythm_2,normal
79,480,funk_rhythm_2,normal
72,480,synth_pop_1,normal
74,240,synth_pop_1,normal
75,240,synth_pop_1,normal
79,480,synth_pop_1,normal
77,240,synth_pop_1,normal
75,240,synth_pop_1,normal
72,480,synth_pop_1,normal
74,480,synth_pop_1,normal
79,960,synth_pop_1,normal
76,480,synth_pop_2,normal
77,240,synth_pop_2,normal
79,240,synth_pop_2,normal
84,480,synth_pop_2,normal
79,480,synth_pop_2,normal
77,480,synth_pop_2,normal
76,960,synth_pop_2,normal
76,240,may_anthem_1,normal
79,240,may_anthem_1,legato
83,240,may_anthem_1,legato
88,240,may_anthem_1,legato
91,240,may_anthem_1,legato
95,240,may_anthem_1,legato
100,480,may_anthem_1,vibrato
76,480,may_anthem_2,normal
78,240,may_anthem_2,normal
79,240,may_anthem_2,slide_up
81,480,may_anthem_2,vibrato
79,240,may_anthem_2,normal
78,240,may_anthem_2,normal
76,960,may_anthem_2,vibrato
76,120,vanhalen_bright_1,tap
81,120,vanhalen_bright_1,tap
88,120,vanhalen_bright_1,tap
76,120,vanhalen_bright_1,tap
80,120,vanhalen_bright_1,tap
88,120,vanhalen_bright_1,tap
76,120,vanhalen_bright_1,tap
79,120,vanhalen_bright_1,tap
88,120,vanhalen_bright_1,tap
76,120,vanhalen_bright_1,tap
81,120,vanhalen_bright_1,tap
88,120,vanhalen_bright_1,tap
76,480,vanhalen_bright_2,normal
76,240,vanhalen_bright_2,normal
78,240,vanhalen_bright_2,normal
81,480,vanhalen_bright_2,normal
81,240,vanhalen_bright_2,normal
80,240,vanhalen_bright_2,normal
78,960,vanhalen_bright_2,vibrato
