pitch,duration,melody_id,technique
67,480,bb_king_thrill_1,normal
70,960,bb_king_thrill_1,bend_half
67,480,bb_king_thrill_1,normal
65,480,bb_king_thrill_1,normal
67,1920,bb_king_thrill_1,vibrato
74,960,bb_king_lucille_1,vibrato
72,480,bb_king_lucille_1,normal
70,480,bb_king_lucille_1,normal
67,960,bb_king_lucille_1,bend_half
70,240,bb_king_lucille_1,normal
67,240,bb_king_lucille_1,normal
65,1920,bb_king_lucille_1,vibrato
67,480,bb_king_box_1,normal
70,240,bb_king_box_1,bend_half
72,240,bb_king_box_1,normal
70,480,bb_king_box_1,normal
67,480,bb_king_box_1,vibrato
65,480,bb_king_box_1,normal
67,960,bb_king_box_1,vibrato
65,240,bb_king_box_1,normal
67,240,bb_king_box_1,normal
70,480,bb_king_box_1,bend_half
67,960,bb_king_box_1,vibrato
62,480,wes_octaves_1,normal
69,480,wes_octaves_1,normal
65,480,wes_octaves_1,normal
72,480,wes_octaves_1,normal
67,480,wes_octaves_1,normal
74,480,wes_octaves_1,normal
67,480,wes_octaves_1,normal
62,480,wes_octaves_1,normal
64,480,wes_octaves_2,normal
71,480,wes_octaves_2,normal
67,480,wes_octaves_2,normal
74,480,wes_octaves_2,normal
69,480,wes_octaves_2,normal
76,480,wes_octaves_2,normal
69,480,wes_octaves_2,normal
64,480,wes_octaves_2,normal
72,120,bebop_lines_1,normal
74,120,bebop_lines_1,legato
76,120,bebop_lines_1,legato
77,120,bebop_lines_1,legato
79,240,bebop_lines_1,normal
77,120,bebop_lines_1,normal
76,120,bebop_lines_1,legato
74,120,bebop_lines_1,legato
72,120,bebop_lines_1,normal
71,120,bebop_lines_1,normal
72,480,bebop_lines_1,normal
74,120,bebop_lines_2,normal
76,120,bebop_lines_2,legato
77,120,bebop_lines_2,legato
79,120,bebop_lines_2,legato
81,120,bebop_lines_2,normal
79,120,bebop_lines_2,normal
77,120,bebop_lines_2,legato
76,120,bebop_lines_2,legato
74,240,bebop_lines_2,normal
72,120,bebop_lines_2,normal
71,120,bebop_lines_2,normal
72,480,bebop_lines_2,normal
72,480,cool_jazz_1,normal
74,960,cool_jazz_1,vibrato
72,480,cool_jazz_1,normal
69,480,cool_jazz_1,normal
67,960,cool_jazz_1,vibrato
65,480,cool_jazz_1,normal
67,1920,cool_jazz_1,normal
72,960,cool_jazz_2,normal
74,480,cool_jazz_2,vibrato
72,480,cool_jazz_2,normal
69,960,cool_jazz_2,normal
67,1920,cool_jazz_2,vibrato
67,240,clapton_crossroads_1,normal
70,120,clapton_crossroads_1,hammer_on
72,120,clapton_crossroads_1,normal
74,240,clapton_crossroads_1,bend_half
72,120,clapton_crossroads_1,normal
70,120,clapton_crossroads_1,pull_off
67,240,clapton_crossroads_1,normal
70,120,clapton_crossroads_1,normal
67,120,clapton_crossroads_1,normal
65,480,clapton_crossroads_1,vibrato
64,240,clapton_cream_1,normal
67,240,clapton_cream_1,normal
69,480,clapton_cream_1,bend_half
67,240,clapton_cream_1,normal
64,240,clapton_cream_1,normal
62,480,clapton_cream_1,normal
64,960,clapton_cream_1,vibrato
64,480,clapton_cream_2,normal
67,240,clapton_cream_2,slide_up
70,240,clapton_cream_2,normal
72,480,clapton_cream_2,bend_half
70,240,clapton_cream_2,normal
67,240,clapton_cream_2,normal
64,480,clapton_cream_2,normal
62,480,clapton_cream_2,normal
64,960,clapton_cream_2,vibrato
52,160,srv_pride_joy_1,normal
55,160,srv_pride_joy_1,hammer_on
57,160,srv_pride_joy_1,normal
59,160,srv_pride_joy_1,bend_half
57,160,srv_pride_joy_1,normal
55,160,srv_pride_joy_1,pull_off
52,160,srv_pride_joy_1,normal
55,160,srv_pride_joy_1,normal
57,160,srv_pride_joy_1,normal
59,480,srv_pride_joy_1,vibrato
52,960,srv_texas_flood_1,normal
55,480,srv_texas_flood_1,slide_up
57,480,srv_texas_flood_1,normal
59,960,srv_texas_flood_1,bend_whole
57,480,srv_texas_flood_1,normal
55,480,srv_texas_flood_1,normal
52,1920,srv_texas_flood_1,vibrato
