pitch,duration,melody_id,technique
52,240,page_blues_riff_1,normal
55,120,page_blues_riff_1,hammer_on
57,120,page_blues_riff_1,normal
60,240,page_blues_riff_1,bend_half
57,240,page_blues_riff_1,normal
55,120,page_blues_riff_1,pull_off
52,120,page_blues_riff_1,normal
50,480,page_blues_riff_1,vibrato
52,240,page_blues_riff_2,normal
55,360,page_blues_riff_2,bend_half
57,120,page_blues_riff_2,normal
60,480,page_blues_riff_2,vibrato
62,240,page_blues_riff_2,normal
60,120,page_blues_riff_2,pull_off
57,120,page_blues_riff_2,normal
55,480,page_blues_riff_2,vibrato
52,240,page_kashmir_1,slide_down
51,120,page_kashmir_1,normal
50,360,page_kashmir_1,slide_down
49,120,page_kashmir_1,normal
48,360,page_kashmir_1,slide_down
47,120,page_kashmir_1,normal
45,480,page_kashmir_1,vibrato
52,240,page_blackdog_1,normal
55,120,page_blackdog_1,hammer_on
57,120,page_blackdog_1,hammer_on
60,120,page_blackdog_1,normal
57,120,page_blackdog_1,pull_off
55,120,page_blackdog_1,pull_off
52,240,page_blackdog_1,normal
57,120,page_blackdog_1,normal
55,120,page_blackdog_1,normal
52,480,page_blackdog_1,vibrato
64,240,may_harmonic_1,normal
67,240,may_harmonic_1,legato
71,240,may_harmonic_1,legato
76,240,may_harmonic_1,legato
79,240,may_harmonic_1,legato
83,240,may_harmonic_1,legato
88,480,may_harmonic_1,vibrato
64,120,may_brighton_1,tap
71,120,may_brighton_1,tap
76,120,may_brighton_1,tap
71,120,may_brighton_1,tap
64,120,may_brighton_1,tap
68,120,may_brighton_1,tap
71,120,may_brighton_1,tap
68,120,may_brighton_1,tap
64,120,may_brighton_1,tap
67,120,may_brighton_1,tap
71,120,may_brighton_1,tap
67,120,may_brighton_1,tap
64,120,may_brighton_1,tap
71,120,may_brighton_1,normal
76,480,may_brighton_1,vibrato
64,480,may_anthem_1,normal
66,240,may_anthem_1,normal
67,240,may_anthem_1,slide_up
69,480,may_anthem_1,vibrato
67,240,may_anthem_1,normal
66,240,may_anthem_1,normal
64,960,may_anthem_1,vibrato
67,240,slash_sweet_child_1,normal
79,120,slash_sweet_child_1,normal
74,120,slash_sweet_child_1,normal
76,120,slash_sweet_child_1,normal
72,120,slash_sweet_child_1,normal
79,120,slash_sweet_child_1,normal
74,120,slash_sweet_child_1,normal
76,120,slash_sweet_child_1,normal
67,240,slash_sweet_child_2,normal
79,120,slash_sweet_child_2,normal
72,120,slash_sweet_child_2,normal
76,120,slash_sweet_child_2,normal
69,120,slash_sweet_child_2,normal
79,120,slash_sweet_child_2,normal
72,120,slash_sweet_child_2,normal
76,120,slash_sweet_child_2,normal
67,120,slash_paradise_1,normal
69,120,slash_paradise_1,hammer_on
70,120,slash_paradise_1,hammer_on
72,120,slash_paradise_1,hammer_on
74,120,slash_paradise_1,normal
75,120,slash_paradise_1,hammer_on
77,120,slash_paradise_1,hammer_on
79,120,slash_paradise_1,bend_half
77,120,slash_paradise_1,normal
75,120,slash_paradise_1,pull_off
74,120,slash_paradise_1,pull_off
72,120,slash_paradise_1,pull_off
70,240,slash_paradise_1,normal
67,240,slash_paradise_1,normal
67,480,slash_november_1,normal
70,240,slash_november_1,slide_up
72,240,slash_november_1,normal
74,480,slash_november_1,bend_half
75,480,slash_november_1,vibrato
74,240,slash_november_1,normal
72,240,slash_november_1,normal
70,480,slash_november_1,normal
67,960,slash_november_1,vibrato
40,120,dimebag_walk_1,palm_mute
40,120,dimebag_walk_1,palm_mute
40,120,dimebag_walk_1,palm_mute
38,240,dimebag_walk_1,normal
37,240,dimebag_walk_1,normal
40,120,dimebag_walk_1,palm_mute
40,120,dimebag_walk_1,palm_mute
40,120,dimebag_walk_1,palm_mute
35,480,dimebag_walk_1,bend_whole
40,120,dimebag_cowboys_1,normal
41,120,dimebag_cowboys_1,hammer_on
43,120,dimebag_cowboys_1,hammer_on
45,120,dimebag_cowboys_1,hammer_on
46,120,dimebag_cowboys_1,hammer_on
48,120,dimebag_cowboys_1,normal
50,120,dimebag_cowboys_1,hammer_on
52,120,dimebag_cowboys_1,bend_half
51,120,dimebag_cowboys_1,normal
50,120,dimebag_cowboys_1,pull_off
48,120,dimebag_cowboys_1,pull_off
46,120,dimebag_cowboys_1,pull_off
45,120,dimebag_cowboys_1,pull_off
43,120,dimebag_cowboys_1,normal
41,120,dimebag_cowboys_1,normal
40,120,dimebag_cowboys_1,normal
40,480,dimebag_floods_1,normal
43,240,dimebag_floods_1,slide_up
45,240,dimebag_floods_1,normal
47,480,dimebag_floods_1,bend_half
50,480,dimebag_floods_1,vibrato
52,960,dimebag_floods_1,vibrato
50,240,dimebag_floods_1,normal
47,240,dimebag_floods_1,normal
45,480,dimebag_floods_1,normal
43,480,dimebag_floods_1,normal
40,960,dimebag_floods_1,vibrato
64,120,vanhalen_eruption_1,tap
69,120,vanhalen_eruption_1,tap
76,120,vanhalen_eruption_1,tap
64,120,vanhalen_eruption_1,tap
68,120,vanhalen_eruption_1,tap
76,120,vanhalen_eruption_1,tap
64,120,vanhalen_eruption_1,tap
67,120,vanhalen_eruption_1,tap
76,120,vanhalen_eruption_1,tap
64,120,vanhalen_eruption_1,tap
69,120,vanhalen_eruption_1,tap
76,120,vanhalen_eruption_1,tap
64,480,vanhalen_jump_1,normal
64,240,vanhalen_jump_1,normal
66,240,vanhalen_jump_1,normal
69,480,vanhalen_jump_1,normal
69,240,vanhalen_jump_1,normal
68,240,vanhalen_jump_1,normal
66,960,vanhalen_jump_1,vibrato
64,120,vanhalen_teacher_1,tap
71,120,vanhalen_teacher_1,tap
76,120,vanhalen_teacher_1,tap
83,120,vanhalen_teacher_1,tap
76,120,vanhalen_teacher_1,tap
71,120,vanhalen_teacher_1,tap
64,120,vanhalen_teacher_1,tap
71,120,vanhalen_teacher_1,tap
76,120,vanhalen_teacher_1,tap
79,120,vanhalen_teacher_1,tap
76,120,vanhalen_teacher_1,tap
71,120,vanhalen_teacher_1,tap
64,240,hendrix_purple_1,normal
70,240,hendrix_purple_1,bend_half
71,480,hendrix_purple_1,vibrato
64,240,hendrix_purple_1,normal
70,240,hendrix_purple_1,bend_half
71,240,hendrix_purple_1,normal
72,240,hendrix_purple_1,hammer_on
71,480,hendrix_purple_1,vibrato
64,360,hendrix_voodoo_1,normal
67,120,hendrix_voodoo_1,hammer_on
69,240,hendrix_voodoo_1,bend_half
67,120,hendrix_voodoo_1,normal
64,120,hendrix_voodoo_1,pull_off
62,240,hendrix_voodoo_1,normal
64,480,hendrix_voodoo_1,vibrato
67,240,hendrix_voodoo_1,normal
69,240,hendrix_voodoo_1,slide_up
71,480,hendrix_voodoo_1,vibrato
64,480,hendrix_foxy_1,normal
64,240,hendrix_foxy_1,normal
67,240,hendrix_foxy_1,slide_up
69,480,hendrix_foxy_1,bend_half
67,480,hendrix_foxy_1,normal
64,960,hendrix_foxy_1,vibrato
52,120,angus_thunderstruck_1,normal
64,120,angus_thunderstruck_1,pull_off
52,120,angus_thunderstruck_1,normal
64,120,angus_thunderstruck_1,pull_off
52,120,angus_thunderstruck_1,normal
63,120,angus_thunderstruck_1,pull_off
52,120,angus_thunderstruck_1,normal
63,120,angus_thunderstruck_1,pull_off
52,120,angus_thunderstruck_1,normal
62,120,angus_thunderstruck_1,pull_off
52,120,angus_thunderstruck_1,normal
62,120,angus_thunderstruck_1,pull_off
52,120,angus_thunderstruck_1,normal
61,120,angus_thunderstruck_1,pull_off
52,120,angus_thunderstruck_1,normal
61,120,angus_thunderstruck_1,pull_off
52,240,angus_backinblack_1,palm_mute
57,120,angus_backinblack_1,normal
55,120,angus_backinblack_1,normal
52,240,angus_backinblack_1,palm_mute
59,120,angus_backinblack_1,normal
57,120,angus_backinblack_1,normal
52,240,angus_backinblack_1,palm_mute
57,120,angus_backinblack_1,normal
55,120,angus_backinblack_1,normal
52,480,angus_backinblack_1,normal
52,480,angus_highway_1,palm_mute
52,240,angus_highway_1,palm_mute
52,240,angus_highway_1,palm_mute
57,480,angus_highway_1,normal
55,480,angus_highway_1,normal
