pitch,duration,melody_id,technique
67,960,gilmour_comfortably_1,bend_whole
70,480,gilmour_comfortably_1,normal
72,480,gilmour_comfortably_1,slide_up
74,1920,gilmour_comfortably_1,vibrato
72,480,gilmour_comfortably_1,normal
70,480,gilmour_comfortably_1,normal
67,960,gilmour_comfortably_1,vibrato
67,480,gilmour_comfortably_2,normal
69,480,gilmour_comfortably_2,slide_up
72,960,gilmour_comfortably_2,vibrato
74,480,gilmour_comfortably_2,bend_half
76,480,gilmour_comfortably_2,normal
79,1920,gilmour_comfortably_2,vibrato
67,480,gilmour_time_1,normal
69,480,gilmour_time_1,normal
72,960,gilmour_time_1,bend_half
74,480,gilmour_time_1,normal
76,480,gilmour_time_1,slide_up
79,1920,gilmour_time_1,vibrato
74,960,gilmour_shine_on_1,bend_whole
72,960,gilmour_shine_on_1,vibrato
70,960,gilmour_shine_on_1,normal
67,1920,gilmour_shine_on_1,vibrato
74,960,gilmour_shine_on_2,bend_half
72,480,gilmour_shine_on_2,normal
70,480,gilmour_shine_on_2,slide_down
67,960,gilmour_shine_on_2,vibrato
65,960,gilmour_shine_on_2,normal
67,1920,gilmour_shine_on_2,vibrato
64,480,radiohead_creep_1,normal
68,480,radiohead_creep_1,normal
71,480,radiohead_creep_1,normal
76,480,radiohead_creep_1,normal
75,480,radiohead_creep_1,normal
71,480,radiohead_creep_1,normal
68,480,radiohead_creep_1,normal
64,480,radiohead_creep_1,normal
64,240,radiohead_paranoid_1,staccato
65,240,radiohead_paranoid_1,normal
67,120,radiohead_paranoid_1,normal
68,120,radiohead_paranoid_1,hammer_on
71,240,radiohead_paranoid_1,normal
70,240,radiohead_paranoid_1,normal
68,240,radiohead_paranoid_1,normal
67,120,radiohead_paranoid_1,pull_off
65,120,radiohead_paranoid_1,normal
64,480,radiohead_paranoid_1,normal
64,240,smiths_jangle_1,normal
68,240,smiths_jangle_1,normal
71,120,smiths_jangle_1,normal
68,120,smiths_jangle_1,normal
64,240,smiths_jangle_1,normal
67,240,smiths_jangle_1,normal
71,120,smiths_jangle_1,normal
67,120,smiths_jangle_1,normal
64,240,smiths_jangle_1,normal
66,240,smiths_jangle_1,normal
71,120,smiths_jangle_1,normal
66,120,smiths_jangle_1,normal
64,240,smiths_jangle_2,normal
67,240,smiths_jangle_2,normal
71,120,smiths_jangle_2,normal
67,120,smiths_jangle_2,normal
64,240,smiths_jangle_2,normal
68,240,smiths_jangle_2,normal
72,120,smiths_jangle_2,normal
68,120,smiths_jangle_2,normal
64,480,smiths_jangle_2,normal
60,960,piano_ballad_1,normal
64,960,piano_ballad_1,normal
67,960,piano_ballad_1,normal
72,960,piano_ballad_1,vibrato
67,960,piano_ballad_1,normal
64,960,piano_ballad_1,normal
60,1920,piano_ballad_1,normal
62,960,piano_ballad_2,normal
65,960,piano_ballad_2,normal
69,960,piano_ballad_2,vibrato
65,480,piano_ballad_2,normal
64,480,piano_ballad_2,normal
62,960,piano_ballad_2,normal
60,1920,piano_ballad_2,normal
64,480,clapton_weeping_1,normal
67,240,clapton_weeping_1,slide_up
69,240,clapton_weeping_1,normal
71,480,clapton_weeping_1,bend_half
69,240,clapton_weeping_1,normal
67,240,clapton_weeping_1,normal
64,480,clapton_weeping_1,normal
62,960,clapton_weeping_1,vibrato
64,1920,clapton_weeping_1,vibrato
64,240,clapton_layla_1,normal
67,240,clapton_layla_1,slide_up
69,480,clapton_layla_1,bend_half
67,240,clapton_layla_1,normal
64,240,clapton_layla_1,normal
62,480,clapton_layla_1,normal
64,960,clapton_layla_1,vibrato
64,480,hendrix_little_wing_1,normal
67,240,hendrix_little_wing_1,normal
68,240,hendrix_little_wing_1,hammer_on
71,480,hendrix_little_wing_1,bend_half
72,240,hendrix_little_wing_1,normal
71,240,hendrix_little_wing_1,normal
68,480,hendrix_little_wing_1,normal
67,240,hendrix_little_wing_1,normal
64,240,hendrix_little_wing_1,normal
62,480,hendrix_little_wing_1,normal
64,960,hendrix_little_wing_1,vibrato
64,360,hendrix_little_wing_2,normal
67,120,hendrix_little_wing_2,hammer_on
69,240,hendrix_little_wing_2,bend_half
67,120,hendrix_little_wing_2,normal
64,120,hendrix_little_wing_2,pull_off
62,240,hendrix_little_wing_2,normal
64,480,hendrix_little_wing_2,vibrato
67,480,hendrix_little_wing_2,normal
69,480,hendrix_little_wing_2,slide_up
64,960,hendrix_little_wing_2,vibrato
