mood,n1,d1,n2,d2,n3,d3,n4,d4,n5,d5,n6,d6,n7,d7,n8,d8,n9,d9,n10,d10,n11,d11,n12,d12,n13,d13,n14,d14,n15,d15,n16,d16
rock,80,0.5,78,0.5,77,0.5,78,0.5,77,0.5,75,0.5,78,0.5,77,0.5,78,0.5,77,0.5,75,0.5,74,0.5,75,0.5,77,0.5,73,0.5,70,0.5
rock,68,0.5,66,0.5,65,0.5,66,0.5,63,0.5,63,0.5,65,0.5,66,0.5,68,0.5,71,0.5,70,0.5,71,0.5,70,0.5,68,0.5,71,0.5,71,0.5
rock,70,0.5,70,0.5,70,0.5,70,0.5,68,0.5,78,0.5,65,0.5,63,0.5,63,0.5,65,0.5,63,0.5,63,0.5,62,0.5,62,0.5,65,0.5,65,0.5
rock,63,0.5,58,0.5,58,0.5,59,0.5,63,0.5,65,0.5,63,0.5,62,0.5,62,0.5,65,0.5,63,0.5,62,0.5,63,0.5,65,0.5,63,0.5,65,0.5
rock,68,0.5,70,0.5,71,0.5,70,0.5,74,0.5,70,0.5,71,0.5,74,0.5,75,0.5,77,0.5,74,0.5,75,0.5,77,0.5,78,0.5,75,0.5,77,0.5
rock,78,0.5,77,0.5,75,0.5,73,0.5,77,0.5,74,0.5,75,0.5,77,0.5,75,0.5,73,0.5,80,0.5,73,0.5,73,0.5,73,0.5,73,0.5,73,0.5
rock,70,0.5,68,0.5,73,0.5,73,0.5,73,0.5,70,0.5,68,0.5,75,0.5,75,0.5,71,0.5,75,0.5,75,0.5,78,0.5,75,0.5,75,0.5,73,0.5
rock,73,0.5,75,0.5,73,0.5,75,0.5,73,0.5,70,0.5,68,0.5,66,0.5,68,0.5,66,0.5,68,0.5,66,0.5,68,0.5,66,0.5,68,0.5,66,0.5
rock,68,0.5,73,0.5,78,0.5,68,0.5,66,0.5,68,0.5,73,0.5,73,0.5,78,0.5,68,0.5,73,0.5,78,0.5,68,0.5,78,0.5,73,0.5,68,0.5
rock,66,0.5,63,0.5,68,0.5,66,0.5,66,0.5,63,0.5,61,0.5,63,0.5,66,0.5,68,0.5,66,0.5,63,0.5,66,0.5,63,0.5,61,0.5,63,0.5
rock,66,0.5,68,0.5,66,0.5,63,0.5,66,0.5,66,0.5,63,0.5,61,0.5,68,0.5,68,0.5,66,0.5,68,0.5,70,0.5,70,0.5,68,0.5,66,0.5
rock,73,0.5,73,0.5,70,0.5,75,0.5,75,0.5,73,0.5,70,0.5,78,0.5,78,0.5,75,0.5,78,0.5,77,0.5,73,0.5,75,0.5,78,0.5,75,0.5
rock,73,0.5,73,0.5,75,0.5,73,0.5,70,0.5,68,0.5,75,0.5,73,0.5,70,0.5,73,0.5,75,0.5,73,0.5,70,0.5,68,0.5,75,0.5,73,0.5
rock,70,0.5,73,0.5,75,0.5,73,0.5,70,0.5,68,0.5,75,0.5,73,0.5,70,0.5,73,0.5,75,0.5,73,0.5,70,0.5,68,0.5,70,0.5,75,0.5
rock,73,0.5,70,0.5,78,0.5,78,0.5,75,0.5,78,0.5,75,0.5,73,0.5,75,0.5,73,0.5,75,0.5,73,0.5,70,0.5,68,0.5,66,0.5,68,0.5
rock,66,0.5,66,0.5,71,0.5,66,0.5,66,0.5,64,0.5,66,0.5,66,0.5,71,0.5,66,0.5,63,0.5,71,0.5,63,0.5,63,0.5,61,0.5,59,0.5
rock,61,0.5,63,0.5,66,0.5,63,0.5,61,0.5,59,0.5,66,0.5,66,0.5,71,0.5,66,0.5,66,0.5,64,0.5,66,0.5,66,0.5,71,0.5,71,0.5
rock,73,0.5,71,0.5,73,0.5,71,0.5,68,0.5,71,0.5,69,0.5,76,0.5,75,0.5,71,0.5,76,0.5,75,0.5,71,0.5,76,0.5,76,0.5,73,0.5
rock,75,0.5,76,0.5,75,0.5,76,0.5,75,0.5,73,0.5,73,0.5,75,0.5,76,0.5,76,0.5,75,0.5,75,0.5,75,0.5,83,0.5,83,0.5,82,0.5
rock,82,0.5,82,0.5,80,0.5,80,0.5,78,0.5,78,0.5,76,0.5,76,0.5,76,0.5,75,0.5,75,0.5,75,0.5,76,0.5,75,0.5,73,0.5,75,0.5
rock,76,0.5,75,0.5,76,0.5,75,0.5,76,0.5,75,0.5,73,0.5,71,0.5,75,0.5,71,0.5,73,0.5,75,0.5,73,0.5,73,0.5,70,0.5,71,0.5
rock,70,0.5,71,0.5,70,0.5,68,0.5,66,0.5,70,0.5,66,0.5,68,0.5,64,0.5,66,0.5,64,0.5,63,0.5,66,0.5,64,0.5,63,0.5,71,0.5
rock,64,0.5,66,0.5,64,0.5,63,0.5,71,0.5,64,0.5,66,0.5,64,0.5,63,0.5,73,0.5,78,0.5,73,0.5,71,0.5,71,0.5,40,0.5,71,0.5
rock,71,0.5,59,0.5,61,0.5,59,0.5,56,0.5,64,0.5,63,0.5,59,0.5,56,0.5,59,0.5,61,0.5,56,0.5,54,0.5,64,0.5,64,0.5,63,0.5
rock,64,0.5,63,0.5,59,0.5,56,0.5,59,0.5,61,0.5,56,0.5,59,0.5,61,0.5,59,0.5,56,0.5,64,0.5,63,0.5,59,0.5,56,0.5,61,0.5
rock,63,0.5,64,0.5,66,0.5,68,0.5,70,0.5,71,0.5,73,0.5,61,0.5,63,0.5,64,0.5,66,0.5,68,0.5,70,0.5,71,0.5,73,0.5,76,0.5
rock,78,0.5,83,0.5,78,0.5,78,0.5,83,0.5,76,0.5,75,0.5,82,0.5,75,0.5,73,0.5,75,0.5,76,0.5,78,0.5,80,0.5,76,0.5,78,0.5
rock,75,0.5,76,0.5,78,0.5,75,0.5,75,0.5,73,0.5,71,0.5,73,0.5,71,0.5,68,0.5,71,0.5,78,0.5,71,0.5,71,0.5,68,0.5,71,0.5
rock,78,0.5,71,0.5,71,0.5,71,0.5,68,0.5,71,0.5,78,0.5,78,0.5,76,0.5,78,0.5,76,0.5,75,0.5,76,0.5,75,0.5,76,0.5,75,0.5
rock,56,0.5,61,0.5,59,0.5,61,0.5,61,0.5,61,0.5,59,0.5,61,0.5,66,0.5,61,0.5,59,0.5,61,0.5,66,0.5,66,0.5,61,0.5,59,0.5
rock,56,0.5,54,0.5,49,0.5,47,0.5,49,0.5,61,0.5,51,0.5,63,0.5,51,0.5,63,0.5,52,0.5,64,0.5,52,0.5,54,0.5,54,0.5,56,0.5
rock,59,0.5,61,0.5,61,0.5,63,0.5,66,0.5,68,0.5,71,0.5,60,0.5,71,0.5,59,0.5,62,0.5,68,0.5,66,0.5,63,0.5,62,0.5,63,0.5
rock,62,0.5,61,0.5,62,0.5,61,0.5,59,0.5,61,0.5,59,0.5,56,0.5,54,0.5,59,0.5,56,0.5,54,0.5,56,0.5,56,0.5,73,0.5,78,0.5
rock,78,0.5,78,0.5,73,0.5,71,0.5,73,0.5,78,0.5,78,0.5,73,0.5,71,0.5,70,0.5,63,0.5,67,0.5,70,0.5,73,0.5,71,0.5,70,0.5
rock,71,0.5,68,0.5,64,0.5,76,0.5,71,0.5,73,0.5,73,0.5,73,0.5,71,0.5,66,0.5,68,0.5,66,0.5,63,0.5,61,0.5,59,0.5,61,0.5
rock,39,0.5,46,0.5,51,0.5,39,0.5,46,0.5,51,0.5,39,0.5,46,0.5,51,0.5,39,0.5,46,0.5,51,0.5,39,0.5,46,0.5,51,0.5,39,0.5
rock,46,0.5,51,0.5,39,0.5,46,0.5,51,0.5,39,0.5,46,0.5,51,0.5,40,0.5,47,0.5,52,0.5,40,0.5,47,0.5,52,0.5,40,0.5,47,0.5
rock,52,0.5,40,0.5,47,0.5,52,0.5,40,0.5,47,0.5,52,0.5,40,0.5,47,0.5,52,0.5,40,0.5,47,0.5,52,0.5,40,0.5,47,0.5,52,0.5
rock,75,0.5,75,0.5,71,0.5,71,0.5,71,0.5,75,0.5,75,0.5,71,0.5,76,0.5,66,0.5,68,0.5,76,0.5,66,0.5,75,0.5,64,0.5,73,0.5
happy,58,0.5,58,0.5,65,0.5,67,0.5,65,0.5,63,0.5,70,0.5,67,0.5,70,0.5,72,0.5,72,0.5,74,0.5,75,0.5,72,0.5,74,0.5,75,0.5
happy,77,0.5,72,0.5,77,0.5,79,0.5,80,0.5,82,0.5,84,0.5,82,0.5,80,0.5,79,0.5,80,0.5,79,0.5,80,0.5,79,0.5,77,0.5,79,0.5
happy,77,0.5,75,0.5,74,0.5,75,0.5,74,0.5,75,0.5,74,0.5,72,0.5,74,0.5,72,0.5,70,0.5,70,0.5,72,0.5,74,0.5,75,0.5,77,0.5
happy,79,0.5,80,0.5,82,0.5,70,0.5,72,0.5,74,0.5,75,0.5,77,0.5,79,0.5,80,0.5,82,0.5,84,0.5,74,0.5,75,0.5,72,0.5,74,0.5
happy,75,0.5,72,0.5,74,0.5,75,0.5,77,0.5,65,0.5,67,0.5,68,0.5,77,0.5,68,0.5,73,0.5,73,0.5,73,0.5,73,0.5,73,0.5,61,0.5
happy,58,0.5,63,0.5,67,0.5,70,0.5,58,0.5,62,0.5,65,0.5,70,0.5,60,0.5,63,0.5,67,0.5,70,0.5,72,0.5,62,0.5,63,0.5,62,0.5
happy,65,0.5,63,0.5,65,0.5,67,0.5,68,0.5,67,0.5,74,0.5,79,0.5,78,0.5,79,0.5,81,0.5,81,0.5,82,0.5,72,0.5,72,0.5,74,0.5
happy,67,0.5,67,0.5,65,0.5,67,0.5,67,0.5,65,0.5,67,0.5,65,0.5,64,0.5,65,0.5,70,0.5,69,0.5,67,0.5,65,0.5,67,0.5,60,0.5
happy,70,0.5,70,0.5,69,0.5,70,0.5,70,0.5,69,0.5,70,0.5,69,0.5,67,0.5,69,0.5,70,0.5,69,0.5,67,0.5,65,0.5,67,0.5,65,0.5
happy,57,0.5,55,0.5,53,0.5,55,0.5,55,0.5,65,0.5,67,0.5,65,0.5,62,0.5,65,0.5,67,0.5,65,0.5,62,0.5,65,0.5,67,0.5,65,0.5
happy,62,0.5,72,0.5,72,0.5,72,0.5,72,0.5,72,0.5,72,0.5,72,0.5,79,0.5,84,0.5,79,0.5,84,0.5,79,0.5,84,0.5,79,0.5,84,0.5
happy,70,0.5,71,0.5,71,0.5,69,0.5,67,0.5,69,0.5,71,0.5,81,0.5,79,0.5,79,0.5,78,0.5,76,0.5,78,0.5,79,0.5,81,0.5,83,0.5
happy,76,0.5,76,0.5,83,0.5,84,0.5,83,0.5,81,0.5,79,0.5,81,0.5,83,0.5,71,0.5,74,0.5,72,0.5,71,0.5,69,0.5,67,0.5,64,0.5
happy,62,0.5,59,0.5,62,0.5,64,0.5,64,0.5,67,0.5,69,0.5,69,0.5,71,0.5,69,0.5,76,0.5,74,0.5,86,0.5,89,0.5,86,0.5,89,0.5
sad,70,0.5,71,0.5,71,0.5,69,0.5,67,0.5,69,0.5,71,0.5,81,0.5,79,0.5,79,0.5,78,0.5,76,0.5,78,0.5,79,0.5,81,0.5,83,0.5
sad,76,0.5,76,0.5,83,0.5,84,0.5,83,0.5,81,0.5,79,0.5,81,0.5,83,0.5,71,0.5,74,0.5,72,0.5,71,0.5,69,0.5,67,0.5,64,0.5
sad,62,0.5,59,0.5,62,0.5,64,0.5,64,0.5,67,0.5,69,0.5,69,0.5,71,0.5,69,0.5,76,0.5,74,0.5,86,0.5,89,0.5,86,0.5,89,0.5
sad,66,0.5,57,0.5,62,0.5,57,0.5,66,0.5,57,0.5,62,0.5,57,0.5,66,0.5,57,0.5,62,0.5,57,0.5,66,0.5,57,0.5,62,0.5,57,0.5
sad,66,0.5,55,0.5,62,0.5,55,0.5,66,0.5,55,0.5,62,0.5,55,0.5,66,0.5,55,0.5,62,0.5,55,0.5,66,0.5,55,0.5,62,0.5,55,0.5
