pitch,duration,melody_id
67,480,knopfler_picking_1
71,240,knopfler_picking_1
74,120,knopfler_picking_1
71,120,knopfler_picking_1
67,240,knopfler_picking_1
70,240,knopfler_picking_1
74,120,knopfler_picking_1
70,120,knopfler_picking_1
67,480,knopfler_picking_2
72,240,knopfler_picking_2
76,120,knopfler_picking_2
72,120,knopfler_picking_2
67,240,knopfler_picking_2
71,240,knopfler_picking_2
74,120,knopfler_picking_2
71,120,knopfler_picking_2
67,960,knopfler_picking_2
67,960,new_age_ambient_1
72,960,new_age_ambient_1
79,960,new_age_ambient_1
84,960,new_age_ambient_1
79,960,new_age_ambient_1
72,960,new_age_ambient_1
67,1920,new_age_ambient_1
72,960,new_age_ambient_2
79,960,new_age_ambient_2
84,960,new_age_ambient_2
79,960,new_age_ambient_2
84,960,new_age_ambient_2
79,960,new_age_ambient_2
72,1920,new_age_ambient_2
64,480,classical_guitar_1
66,240,classical_guitar_1
67,240,classical_guitar_1
69,480,classical_guitar_1
71,480,classical_guitar_1
72,960,classical_guitar_1
71,480,classical_guitar_1
69,480,classical_guitar_1
67,480,classical_guitar_1
64,960,classical_guitar_1
64,480,classical_guitar_2
67,480,classical_guitar_2
71,480,classical_guitar_2
72,480,classical_guitar_2
71,480,classical_guitar_2
67,480,classical_guitar_2
64,480,classical_guitar_2
60,960,classical_guitar_2
67,960,gilmour_ambient_1
72,960,gilmour_ambient_1
79,960,gilmour_ambient_1
84,960,gilmour_ambient_1
79,480,gilmour_ambient_1
76,480,gilmour_ambient_1
72,960,gilmour_ambient_1
67,1920,gilmour_ambient_1
74,960,gilmour_ambient_2
72,480,gilmour_ambient_2
70,480,gilmour_ambient_2
67,960,gilmour_ambient_2
65,960,gilmour_ambient_2
67,1920,gilmour_ambient_2
67,480,beck_gentle_1
69,480,beck_gentle_1
72,960,beck_gentle_1
74,480,beck_gentle_1
72,480,beck_gentle_1
69,960,beck_gentle_1
67,1920,beck_gentle_1
67,480,beck_gentle_2
71,480,beck_gentle_2
74,960,beck_gentle_2
71,480,beck_gentle_2
67,480,beck_gentle_2
64,960,beck_gentle_2
67,1920,beck_gentle_2
