pitch,duration,melody_id
67,960,gilmour_comfortably_1
70,480,gilmour_comfortably_1
72,480,gilmour_comfortably_1
74,1920,gilmour_comfortably_1
72,480,gilmour_comfortably_1
70,480,gilmour_comfortably_1
67,960,gilmour_comfortably_1
67,480,gilmour_comfortably_2
69,480,gilmour_comfortably_2
72,960,gilmour_comfortably_2
74,480,gilmour_comfortably_2
76,480,gilmour_comfortably_2
79,1920,gilmour_comfortably_2
67,480,gilmour_time_1
69,480,gilmour_time_1
72,960,gilmour_time_1
74,480,gilmour_time_1
76,480,gilmour_time_1
79,1920,gilmour_time_1
74,960,gilmour_shine_on_1
72,960,gilmour_shine_on_1
70,960,gilmour_shine_on_1
67,1920,gilmour_shine_on_1
74,960,gilmour_shine_on_2
72,480,gilmour_shine_on_2
70,480,gilmour_shine_on_2
67,960,gilmour_shine_on_2
65,960,gilmour_shine_on_2
67,1920,gilmour_shine_on_2
64,480,radiohead_creep_1
68,480,radiohead_creep_1
71,480,radiohead_creep_1
76,480,radiohead_creep_1
75,480,radiohead_creep_1
71,480,radiohead_creep_1
68,480,radiohead_creep_1
64,480,radiohead_creep_1
64,240,radiohead_paranoid_1
65,240,radiohead_paranoid_1
67,120,radiohead_paranoid_1
68,120,radiohead_paranoid_1
71,240,radiohead_paranoid_1
70,240,radiohead_paranoid_1
68,240,radiohead_paranoid_1
67,120,radiohead_paranoid_1
65,120,radiohead_paranoid_1
64,480,radiohead_paranoid_1
64,240,smiths_jangle_1
68,240,smiths_jangle_1
71,120,smiths_jangle_1
68,120,smiths_jangle_1
64,240,smiths_jangle_1
67,240,smiths_jangle_1
71,120,smiths_jangle_1
67,120,smiths_jangle_1
64,240,smiths_jangle_1
66,240,smiths_jangle_1
71,120,smiths_jangle_1
66,120,smiths_jangle_1
64,240,smiths_jangle_2
67,240,smiths_jangle_2
71,120,smiths_jangle_2
67,120,smiths_jangle_2
64,240,smiths_jangle_2
68,240,smiths_jangle_2
72,120,smiths_jangle_2
68,120,smiths_jangle_2
64,480,smiths_jangle_2
60,960,piano_ballad_1
64,960,piano_ballad_1
67,960,piano_ballad_1
72,960,piano_ballad_1
67,960,piano_ballad_1
64,960,piano_ballad_1
60,1920,piano_ballad_1
62,960,piano_ballad_2
65,960,piano_ballad_2
69,960,piano_ballad_2
65,480,piano_ballad_2
64,480,piano_ballad_2
62,960,piano_ballad_2
60,1920,piano_ballad_2
64,480,clapton_weeping_1
67,240,clapton_weeping_1
69,240,clapton_weeping_1
71,480,clapton_weeping_1
69,240,clapton_weeping_1
67,240,clapton_weeping_1
64,480,clapton_weeping_1
62,960,clapton_weeping_1
64,1920,clapton_weeping_1
64,240,clapton_layla_1
67,240,clapton_layla_1
69,480,clapton_layla_1
67,240,clapton_layla_1
64,240,clapton_layla_1
62,480,clapton_layla_1
64,960,clapton_layla_1
64,480,hendrix_little_wing_1
67,240,hendrix_little_wing_1
68,240,hendrix_little_wing_1
71,480,hendrix_little_wing_1
72,240,hendrix_little_wing_1
71,240,hendrix_little_wing_1
68,480,hendrix_little_wing_1
67,240,hendrix_little_wing_1
64,240,hendrix_little_wing_1
62,480,hendrix_little_wing_1
64,960,hendrix_little_wing_1
64,360,hendrix_little_wing_2
67,120,hendrix_little_wing_2
69,240,hendrix_little_wing_2
67,120,hendrix_little_wing_2
64,120,hendrix_little_wing_2
62,240,hendrix_little_wing_2
64,480,hendrix_little_wing_2
67,480,hendrix_little_wing_2
69,480,hendrix_little_wing_2
64,960,hendrix_little_wing_2
